Year,Region,NMFS Name,Scientific Name,Pounds,Dollars
2018,Gulf,GOBIES **,GOBIIDAE,687,"1,206"
2018,Gulf,"GOBY, NAKED ",GOBIOSOMA BOSC,NA,NA
2018,Gulf,"GOBY, NEON ",ELACATINUS OCEANOPS,"1,275","4,073"
2018,Gulf,"GOBY, TIGER ",ELACATINUS MACRODON,NA,NA
2018,Gulf,"GOBY, YELLOWLINE ",ELACATINUS HORSTI,NA,NA
2018,Gulf,GOOSEFISH ,LOPHIUS AMERICANUS,NA,NA
2018,Gulf,"GORGONIAN, SEA BLADES ",PTEROGORGIA GUADALUPENSIS,"10,357","38,058"
2018,Gulf,GRAYSBY,CEPHALOPHOLIS CRUENTATA,NA,NA
2018,Gulf,GRAYSBY ,CEPHALOPHOLIS CRUENTATA,55,135
2018,Gulf,"GROUPER, BLACK ",MYCTEROPERCA BONACI,"85,719","407,943"
2018,Gulf,"GROUPER, CONEY ",CEPHALOPHOLIS FULVA,6,20
2018,Gulf,"GROUPER, GAG ",MYCTEROPERCA MICROLEPIS,"581,812","2,784,934"
2018,Gulf,"GROUPER, MARBLED",DERMATOLEPIS INERMIS,NA,NA
2018,Gulf,"GROUPER, MISTY ",EPINEPHELUS MYSTACINUS,"1,232","3,234"
2018,Gulf,"GROUPER, RED ",EPINEPHELUS MORIO,"2,801,074","11,259,866"
2018,Gulf,"GROUPER, SNOWY ",EPINEPHELUS NIVEATUS,"154,194","677,654"
2018,Gulf,"GROUPER, WARSAW ",EPINEPHELUS NIGRITUS,"41,147","147,421"
2018,Gulf,"GROUPER, YELLOWEDGE ",EPINEPHELUS FLAVOLIMBATUS,"769,854","3,348,111"
2018,Gulf,"GROUPER, YELLOWFIN ",MYCTEROPERCA VENENOSA,122,344
2018,Gulf,"GROUPER, YELLOWMOUTH ",MYCTEROPERCA INTERSTITIALIS,65,181
2018,Gulf,"GROUPERS, SERRANIDAE (FAMILY) **",SERRANIDAE,177,"1,938"
2018,Gulf,"GRUNT, FRENCH ",HAEMULON FLAVOLINEATUM,248,"2,033"
2018,Gulf,"GRUNTS, HAEMULIDAE (FAMILY) **",HAEMULIDAE,"195,400","253,337"
2018,Gulf,"GUITARFISH, BANDED ",ZAPTERYX,NA,NA
2018,Gulf,"HAKES, RED AND WHITE **",UROPHYCIS,242,302
2018,Gulf,"HAMLET, BUTTER ",HYPOPLECTRUS UNICOLOR,238,969
2018,Gulf,"HARES, SEA **",APLYSIIDAE,736,"1,552"
2018,Gulf,"HARVESTFISH, NORTHERN ",PEPRILUS PARU,"2,251","2,446"
2018,Gulf,HARVESTFISHES **,PEPRILUS,349,144
2018,Gulf,"HAWKFISH, REDSPOTTED ",AMBLYCIRRHITUS PINOS,45,146
2018,Gulf,"HERRING, ATLANTIC THREAD ",OPISTHONEMA OGLINUM,"2,260,826","484,935"
2018,Gulf,HERRINGS **,CLUPEIDAE,"1,587,276","2,106,004"
2018,Gulf,HIGH-HAT ,PAREQUES ACUMINATUS,"1,003","1,989"
2018,Gulf,"HIND, RED ",EPINEPHELUS GUTTATUS,"1,111","4,107"
2018,Gulf,"HIND, ROCK ",EPINEPHELUS ADSCENSIONIS,355,878
2018,Gulf,"HIND, SPECKLED ",EPINEPHELUS DRUMMONDHAYI,"72,065","295,760"
2018,Gulf,HOGFISH ,LACHNOLAIMUS MAXIMUS,"13,000","61,797"
2018,Gulf,"HOGFISH, SPANISH ",BODIANUS RUFUS,127,"1,058"
2018,Gulf,"HOGFISH, SPOTFIN ",BODIANUS PULCHELLUS,458,"9,814"
2018,Gulf,"JACK, ALMACO ",SERIOLA RIVOLIANA,"26,506","40,590"
2018,Gulf,"JACK, BAR",CARANGOIDES RUBER,"12,144","17,567"
2018,Gulf,"JACK, BAR ",CARANGOIDES RUBER,"38,635","49,513"
2018,Gulf,"JACK, BLACK ",CARANX LUGUBRIS,NA,NA
2018,Gulf,"JACK, BLUNTNOSE ",HEMICRANX AMBLYRHYNCHUS,NA,NA
2018,Gulf,"JACK, CREVALLE ",CARANX HIPPOS,"291,044","234,711"
2018,Gulf,"JACK, HORSE-EYE ",CARANX LATUS,58,225
2018,Gulf,"JACK, YELLOW ",CARANGOIDES BARTHOLOMAEI,"16,922","36,756"
2018,Gulf,JACKKNIFE-FISH ,EQUETUS LANCEOLATUS,146,"1,150"
2018,Gulf,JACKS **,CARANGIDAE,"25,055","36,068"
2018,Gulf,"JAWFISH, DUSKY ",OPISTOGNATHUS WHITEHURSTI,347,583
2018,Gulf,"JAWFISH, YELLOWHEAD ",OPISTOGNATHUS AURIFRONS,"3,890","22,883"
2018,Gulf,JAWFISHES **,OPISTOGNATHIDAE,NA,NA
2018,Gulf,"JAWFISHES, SPOTFIN **",OPISTOGNATHUS ,168,"1,395"
2018,Gulf,"JELLYFISHES, SCYPHOZOA (CLASS) **",SCYPHOZOA,269,"3,180"
2018,Gulf,KILLIFISHES **,CYPRINODONTIDAE,"1,761","40,396"
2018,Gulf,"KINGFISH, GULF ",MENTICIRRHUS LITTORALIS,"4,118","5,559"
2018,Gulf,KINGFISHES **,MENTICIRRHUS,"31,298","39,210"
2018,Gulf,"KINGSNAKE, SPECKLED",LAMPROPELTIS HOLBROOKI,NA,90
2018,Gulf,LADYFISH ,ELOPS SAURUS,"1,931,336","1,458,043"
2018,Gulf,LIONFISHES **,PTEROIS  OKEN,"32,414","163,319"
2018,Gulf,"LIZARDFISH, INSHORE ",SYNODUS FOETENS,6,63
2018,Gulf,"LOBSTER, CARIBBEAN SPINY ",PANULIRUS ARGUS,"5,820,636","43,620,108"
2018,Gulf,"LOBSTER, SPANISH **",SCYLLARIDES,411,"1,101"
2018,Gulf,"LOBSTER, SPOTTED SPINY ",PANULIRUS GUTTATUS,6,103
2018,Gulf,"LOBSTERS, SLIPPER **",SCYLLARIDAE,"1,990","1,712"
2018,Gulf,LOOKDOWN ,SELENE VOMER,603,"4,100"
2018,Gulf,"MACKEREL, ATLANTIC ",SCOMBER SCOMBRUS,"45,137","12,318"
2018,Gulf,"MACKEREL, KING ",SCOMBEROMORUS CAVALLA,"3,049,650","5,823,110"
2018,Gulf,"MACKEREL, SPANISH ",SCOMBEROMORUS MACULATUS,"1,168,126","869,455"
2018,Gulf,"MAJOR, SERGEANT ",ABUDEFDUF SAXATILIS,641,702
2018,Gulf,"MARGATE, BLACK ",ANISOTREMUS SURINAMENSIS,NA,NA
2018,Gulf,"MAT, GREEN SEA ",ZOANTHUS SOCIATUS,"12,732","5,037"
2018,Gulf,"MENHADEN, ATLANTIC ",BREVOORTIA TYRANNUS,"109,752","50,943"
2018,Gulf,MENHADENS **,BREVOORTIA ,"1,165,986,943","116,479,374"
2018,Gulf,MINNOWS **,CYPRINIDAE,"32,126","125,605"
2018,Gulf,MOJARRAS **,GERREIDAE,"250,511","241,786"
2018,Gulf,"MOONFISH, ATLANTIC ",SELENE SETAPINNIS,"1,534",580
2018,Gulf,"MULLET, STRIPED ",MUGIL CEPHALUS,"7,975,461","5,520,820"
2018,Gulf,"MULLET, WHITE ",MUGIL CUREMA,"150,386","125,410"
2018,Gulf,MULLETS **,MUGILIDAE,"110,694","232,266"
2018,Gulf,NEEDLEFISHES **,BELONIDAE,19,31
2018,Gulf,NUDIBRANCHS **,NUDIBRANCHIA,"2,425","2,542"
2018,Gulf,"OCTOPUS, ATLANTIC PYGMY ",OCTOPUS JOUBINI,67,129
