Species,FeedingType,Herbivory2,FoodTroph,old_name
Aetobatus narinari,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.32,Aetobatus narinari
Narcine brasiliensis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.061,Narcine brasiliensis
Breviraja spinosa,NA,NA,NA,Breviraja spinosa
Dactylobatus armatus,NA,NA,NA,Dactylobatus armatus
Dipturus garricki,NA,NA,NA,Dipturus garricki
Dipturus olseni,NA,NA,NA,Dipturus olseni
Fenestraja sinusmexicanus,NA,NA,NA,Fenestraja sinusmexicanus
Leucoraja lentiginosa,NA,NA,NA,Leucoraja lentiginosa
Raja ackleyi,NA,NA,NA,Raja ackleyi
Raja eglanteria,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.74,Raja eglanteria
Raja texana,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.84,Raja texana
Rajella bigelowi,NA,NA,NA,Rajella bigelowi
Rajella purpuriventralis,NA,NA,NA,Rajella purpuriventralis
Pseudobatos lentiginosus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.55,Rhinobatos lentiginosus
Rhinoptera bonasus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.49,Rhinoptera bonasus
Apristurus laurussonii,NA,NA,NA,Apristurus laurussonii
Apristurus parvipinnis,NA,NA,NA,Apristurus parvipinnis
Apristurus riveri,NA,NA,NA,Apristurus riveri
Galeus arae,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.6,Galeus arae
Scyliorhinus retifer,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,Scyliorhinus retifer
Tetronarce nobiliana,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),4.5,Torpedo nobiliana
Mustelus canis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.69,Mustelus canis
Mustelus norrisi,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.87,Mustelus norrisi
Mustelus sinusmexicanus,NA,NA,NA,Mustelus sinusmexicanus
Urobatis jamaicensis,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.55,Urobatis jamaicensis
