Code,preyvalue,long_name,guild,habit,tot_catch,tot_catch_base,dollar_kg,gross_value_mt,gross_value_base_mt
ODF,8.09398070569988e-4,Other demersal fish,Mesopelagic,Demersal,18746.026333339283,24287.947576961695,17.769746727094173,333112140.0828769,431590676.96355
ODF,0.001167281704242415,Other demersal fish,Mesopelagic,Demersal,18791.48428983779,24348.8891594141,17.769746727094173,333919916.45658666,432673593.4488775
ODF,0.0016834072462015557,Other demersal fish,Mesopelagic,Demersal,18840.597844323496,24416.384873620897,17.769746727094173,334792651.880665,433872975.1954966
ODF,0.00242774297435179,Other demersal fish,Mesopelagic,Demersal,18882.340035284004,24478.688323636517,17.769746727094173,335534400.0418672,434980091.72249836
ODF,0.0035011943561568766,Other demersal fish,Mesopelagic,Demersal,18897.991757544518,24513.935480682478,17.769746727094173,335812527.1822794,435606424.7760552
ODF,0.005049283243362186,Other demersal fish,Mesopelagic,Demersal,18856.42099013365,24486.237882311718,17.769746727094173,335073825.17413735,435114245.46805805
ODF,0.00728187546254453,Other demersal fish,Mesopelagic,Demersal,18717.92788427811,24348.79947058812,17.769746727094173,332612837.75963575,432671999.7011556
ODF,0.01050163116155465,Other demersal fish,Mesopelagic,Demersal,18439.12067978553,24050.69668757068,17.769746727094173,327658504.35011345,427374788.74829376
ODF,0.015145034767567803,Other demersal fish,Mesopelagic,Demersal,17979.08724880471,23546.052515341617,17.769746727094173,319483826.7955881,418407389.6204792
ODF,0.02184156676065183,Other demersal fish,Mesopelagic,Demersal,17298.384959490322,22788.051058226345,17.769746727094173,307387919.5179182,404937895.70877254
ODF,0.03149903885209916,Other demersal fish,Mesopelagic,Demersal,16350.477758693598,21722.014795455674,17.769746727094173,290543848.6389716,385994701.3174397
ODF,0.0454266609844816,Other demersal fish,Mesopelagic,Demersal,15079.195389653201,20287.465946854372,17.769746727094173,267953482.92250353,360503131.61015
ODF,0.06551252366424194,Other demersal fish,Mesopelagic,Demersal,13434.826916956452,18419.504369272654,17.769746727094173,238733471.63666362,327309927.4805796
